pattern_key,ingredient_key,presence,role
gimbap,cucumber,always,main
gimbap,carrot,always,main
gimbap,egg,always,main
gimbap,cooking_oil,always,sauce
gimbap,soy_sauce,always,sauce
gimbap,sugar,always,sauce
gimbap,green_onion,always,main
gimbap,garlic,always,main
gimbap,black_pepper,always,sauce
gimbap,vinegar,always,sauce
squid_rice_bowl,rice,always,main
squid_rice_bowl,squid,always,main
squid_rice_bowl,onion,always,main
squid_rice_bowl,green_chili,always,main
squid_rice_bowl,red_chili,always,main
squid_rice_bowl,perilla_leaf,always,main
squid_rice_bowl,carrot,always,main
squid_rice_bowl,green_onion,always,main
squid_rice_bowl,cooking_oil,always,sauce
squid_rice_bowl,starch,always,main
squid_rice_bowl,gochujang,always,sauce
squid_rice_bowl,gochugaru,always,sauce
squid_rice_bowl,soy_sauce,always,sauce
squid_rice_bowl,sugar,always,sauce
squid_rice_bowl,corn_syrup,always,sauce
squid_rice_bowl,garlic,always,main
squid_rice_bowl,ginger,always,main
squid_rice_bowl,cooking_wine,always,sauce
squid_rice_bowl,sesame_oil,always,sauce
squid_rice_bowl,black_pepper,always,sauce
octopus_rice_bowl,rice,always,main
octopus_rice_bowl,octopus,always,main
octopus_rice_bowl,green_chili,always,main
octopus_rice_bowl,red_chili,always,main
octopus_rice_bowl,onion,always,main
octopus_rice_bowl,green_onion,always,main
octopus_rice_bowl,sesame_seed,always,garnish
octopus_rice_bowl,cooking_oil,always,sauce
octopus_rice_bowl,wheat_flour,always,main
octopus_rice_bowl,gochujang,always,sauce
octopus_rice_bowl,gochugaru,always,sauce
octopus_rice_bowl,soy_sauce,always,sauce
octopus_rice_bowl,sugar,always,sauce
octopus_rice_bowl,cooking_wine,always,sauce
octopus_rice_bowl,garlic,always,main
octopus_rice_bowl,ginger,always,main
octopus_rice_bowl,sesame_oil,always,sauce
octopus_rice_bowl,salt,always,sauce
octopus_rice_bowl,black_pepper,always,sauce
kimchi_fried_rice,rice,always,main
kimchi_fried_rice,kimchi,always,main
